subject,trial,condition,order_byint,order,atc_scenario,ms_cutoff,restime,reserror
15,15,Blank,3,12,NA,16222.01419,4586.223326,0
15,6,Blank,4,13,NA,14194.26242,NA,1
15,9,Blank,5,14,NA,16222.01419,7190.858083,0
15,5,None,1,4,NA,17235.89008,1640.719778,0
15,2,None,2,7,NA,11152.63476,1457.9751,0
15,8,None,3,9,NA,21291.39363,2164.645336,0
15,14,None,4,11,NA,18249.76597,2535.127596,0
15,11,None,5,15,NA,19263.64185,3635.223326,0
16,1,ATCint,1,2,4,23318.90176,5193.801776,0
16,7,ATCint,2,3,2,20277.30588,NA,1
16,4,ATCint,3,6,1,11152.51823,2195.568833,0
16,10,ATCint,4,9,3,12166.38353,2559.205894,0
16,13,ATCint,5,15,5,15207.97941,NA,1
16,11,Blank,1,1,NA,19263.44059,8881.034719,0
16,8,Blank,2,5,NA,21291.17117,10060.8953,0
16,5,Blank,3,11,NA,17235.71,11700.57354,0
16,2,Blank,4,12,NA,11152.51823,3098.765307,0
16,14,Blank,5,13,NA,18249.57529,5445.589423,0
16,6,None,1,4,NA,14194.11412,NA,1
16,15,None,2,7,NA,16221.8447,5036.034719,0
16,3,None,3,8,NA,20277.30588,2468.434127,0
16,12,None,4,10,NA,23318.90176,8897.801776,0
16,9,None,5,14,NA,16221.8447,NA,1
17,15,ATCint,1,1,3,16221.87562,2347.70428,0
17,3,ATCint,2,3,4,20277.34452,2508.198375,0
17,12,ATCint,3,6,1,23318.9462,4275.517714,0
17,9,ATCint,4,9,2,16221.87562,3016.24377,0
17,6,ATCint,5,10,5,14194.14116,3738.331149,0
17,13,Blank,1,2,NA,15208.00839,1979.658884,0
17,4,Blank,2,4,NA,11152.53949,2897.331149,0
17,1,Blank,3,5,NA,23318.9462,2943.517714,0
17,10,Blank,4,12,NA,12166.40671,2241.916035,0
17,7,Blank,5,13,NA,20277.34452,3897.916035,0
17,2,None,1,7,NA,11152.53949,1313.438732,0
17,14,None,2,8,NA,18249.61007,1600.322752,0
17,11,None,3,11,NA,19263.47729,2921.70428,0
17,8,None,4,14,NA,21291.21175,1878.667281,0
17,5,None,5,15,NA,17235.74284,2104.235374,0
18,8,ATCint,1,3,5,21291.25263,12557.43758,0
18,11,ATCint,2,8,3,19263.51429,2922.371415,0
18,5,ATCint,3,9,4,17235.77594,3185.894723,0
18,2,ATCint,4,10,1,11152.5609,5481.109761,0
18,14,ATCint,5,13,2,18249.64511,4997.054125,0
18,10,Blank,1,1,NA,12166.43008,5576.624049,0
18,4,Blank,2,2,NA,11152.5609,4408.09172,0
18,13,Blank,3,6,NA,15208.0376,2282.39999,0
18,7,Blank,4,11,NA,20277.38346,NA,1
18,1,Blank,5,12,NA,23318.99098,20474.23157,0
18,15,None,1,4,NA,16221.90677,1457.371415,0
18,12,None,2,5,NA,23318.99098,3603.231568,0
18,3,None,3,7,NA,20277.38346,2543.960893,0
18,6,None,4,14,NA,14194.16842,2457.09172,0
18,9,None,5,15,NA,16221.90677,2355.932318,0
19,11,ATCint,1,1,3,19263.59226,NA,1
19,5,ATCint,2,8,1,17235.84571,NA,1
19,2,ATCint,3,11,5,11152.60605,3489.416264,0
19,14,ATCint,4,12,4,18249.71899,2370.487837,0
19,8,ATCint,5,14,2,21291.33882,NA,1
19,9,Blank,1,2,NA,16221.97243,8583.275752,0
19,15,Blank,2,5,NA,16221.97243,7284.66971,0
19,12,Blank,3,6,NA,23319.08537,4642.628348,0
19,6,Blank,4,10,NA,14194.22588,3090.586985,0
19,3,Blank,5,13,NA,20277.46554,12980.46026,0
19,1,None,1,3,NA,23319.08537,1601.628348,0
19,10,None,2,4,NA,12166.47932,1683.008518,0
19,4,None,3,7,NA,11152.60605,1599.586985,0
19,7,None,4,9,NA,20277.46554,15662.00852,0
19,13,None,5,15,NA,15208.09916,1887.854219,0
2,6,ATCint,1,1,1,14194.25671,2438.816486,0
2,15,ATCint,2,2,4,16222.00766,2286.379017,0
