Participant,TestNumber_1,TestNumber_2,TestNumber_3,TestNumber_4,TestNumber_5,TestNumber_6,TestNumber_7,TestNumber_8,TestNumber_9,TestNumber_10,TestNumber_11,TestNumber_12,TestNumber_13,TestNumber_14,TestNumber_15,Nback1_PM,Nback2_PM,Nback3_PM,Nback4_PM,Nback5_PM,Blank1_PM,Blank2_PM,Blank3_PM,Blank4_PM,Blank5_PM,None1_PM,None2_PM,None3_PM,None4_PM,None5_PM,NbackM_PM,BlankM_PM,NoneM_PM,Nback1_PM_falsealarm,Nback2_PM_falsealarm,Nback3_PM_falsealarm,Nback4_PM_falsealarm,Nback5_PM_falsealarm,Blank1_PM_falsealarm,Blank2_PM_falsealarm,Blank3_PM_falsealarm,Blank4_PM_falsealarm,Blank5_PM_falsealarm,None1_PM_falsealarm,None2_PM_falsealarm,None3_PM_falsealarm,None4_PM_falsealarm,None5_PM_falsealarm,NbackM_PM_falsealarm,BlankM_PM_falsealarm,NoneM_PM_falsealarm,Nback1_Accuracy2,Nback2_Accuracy2,Nback3_Accuracy2,Nback4_Accuracy2,Nback5_Accuracy2,Blank1_Accuracy2,Blank2_Accuracy2,Blank3_Accuracy2,Blank4_Accuracy2,Blank5_Accuracy2,None1_Accuracy2,None2_Accuracy2,None3_Accuracy2,None4_Accuracy2,None5_Accuracy2,NbackM_PM_Accuracy2,BlankM_PM_Accuracy2,NoneM_PM_Accuracy2,Nback1_PMRT,Nback2_PMRT,Nback3_PMRT,Nback4_PMRT,Nback5_PMRT,Blank1_PMRT,Blank2_PMRT,Blank3_PMRT,Blank4_PMRT,Blank5_PMRT,None1_PMRT,None2_PMRT,None3_PMRT,None4_PMRT,None5_PMRT,NbackM_PM_reaction,BlankM_PM_reaction,NoneM_PM_reaction,Nback1_PM_Fixed,Nback2_PM_Fixed,Nback3_PM_Fixed,Nback4_PM_Fixed,Nback5_PM_Fixed,Blank1_PM_Fixed,Blank2_PM_Fixed,Blank3_PM_Fixed,Blank4_PM_Fixed,Blank5_PM_Fixed,None1_PM_Fixed,None2_PM_Fixed,None3_PM_Fixed,None4_PM_Fixed,None5_PM_Fixed,Nback_PM_Fixed,Blank_PM_Fixed,None_PM_Fixed,Nback_PM_Valid,Blank_PM_Valid,None_PM_Valid
5,8,3,11,4,15,7,6,10,2,9,1,5,14,12,13,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,5,1,4,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0.040816326530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302.95861732235,2509.24707373334,7583.9564392867,2983.25360784034,2438.35556807244,2435.06057755445,0,0,0,0,3455.65709269739,3144.05186541181,0,2825.84576691192,2543.95426125103,3563.55426125103,2435.06057755445,2992.37724656804,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,5,1,4,5,5,5
50,10,13,12,4,9,11,7,6,1,8,2,15,3,14,5,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,5,4,3,0,0,0,0,0,0,0,0,0,0,0.083333333333333,0,0,0,0,0,0,0.020408163265306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,801.259588642541,784.065158729703,4505.90155749267,695.750392353599,2502.00647961805,2293.78122102941,2132.6330341303,0,2797.79663536733,1315.28743907838,0,1254.29041731835,2983.20090953086,0,636.42318987957,1857.79663536731,2134.87458240135,1624.63817224293,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,5,4,3,5,5,5
51,13,10,7,3,5,15,1,12,2,6,8,9,11,14,4,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289.05518391449,0,0,1837.33829350793,0,4308.56238148801,2266.70393628473,5866.86516495256,3969.84549108145,0,2524.40643154425,0,1289.05518391449,2804.20153709355,4120.37236252609,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,3,3,5,5,5
52,12,1,11,2,3,14,7,15,13,10,9,5,8,4,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,5,4,4,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6233.2281427022,2723.46728293889,3008.80424871796,2571.54336390537,2926.70642317558,3150.61944487182,0,2905.54336390537,3456.35856005919,2409.27163185406,11522.9564106509,2681.58685305723,2346.77160680477,3670.83684053257,0,3492.749892288,2980.44825017261,5055.53792776138,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,5,4,4,5,5,5
53,11,5,13,15,10,3,6,14,9,8,1,7,2,4,12,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.020408163265306,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,2940.37175541624,3410.18079517499,2970.23254686137,0,2426.72452360924,3784.98983493375,0,0,2952.64361963337,1890.87977866837,7766.14508999288,0,1939.93808324737,2651.28429854775,3106.92836581754,3054.78599272545,3562.06181261409,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,3,3,4,5,5,5
54,10,2,9,4,6,5,11,12,3,13,8,7,1,15,14,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,5,5,3,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.70456720193,1905.8116691738,1826.24650155587,1603.04778645479,2217.23875713453,1374.23875713453,2565.58197638739,2945.67358951661,2150.23101271319,3012.88004903903,1855.51359652219,0,0,1121.40649455029,1826.26199039855,1772.60985630418,2409.72107695815,1601.06069382367,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,5,5,3,5,5,5
55,1,9,5,11,12,10,2,6,15,7,8,13,14,3,4,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815.264150232804,596.535651411454,0,1635.19693813601,0,0,710.879062841326,3709.48927729542,2234.67947191396,1161.51481343067,1933.14586586555,0,0,2523.73524233885,2247.63779595235,1015.66557992676,1954.14065637034,2234.83963471892,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,3,4,3,5,5,5
56,3,10,6,13,15,4,12,1,5,8,7,2,11,9,14,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0.020408163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395.77686928888,3422.96082853881,1626.8414533273,4183.36395248122,2851.27589814778,0,2498.62423091705,0,2547.54791173115,2157.80819016698,0,3523.23284212218,5462.47159254522,2481.85971705166,3177.75469384868,3422.76513414138,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,3,3,4,5,5,5
57,11,13,14,5,6,10,7,15,8,1,12,4,2,3,9,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390.92599522517,0,0,1752.98868661461,2015.83848975689,0,2015.26382878964,749.851115527097,0,2946.63866474153,2720.33870848769,0,0,2233.23857724923,1681.77623582905,2053.25105719889,1903.91786968609,2211.78450718865,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,3,3,3,5,5,5
58,15,14,5,1,8,4,3,11,13,2,12,7,10,6,9,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909090909091,0,0,0,0.019230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2135.33254754401,0,2511.05310439176,2605.64597678001,2771.67665891358,3607.67665891358,2875.33089556894,2447.45858002844,1930.70734104715,0,1857.76870531426,2163.80269139798,0,0,2752.95775404089,2505.92707190734,2715.29336888953,2258.17638358438,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,4,4,3,5,5,5
59,3,2,14,8,10,15,9,12,6,4,7,11,1,5,13,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.03314490704,2800.06344322319,1424.21610455366,368.361902952805,2627.98225779686,2633.93137068671,1270.17894330618,0,1188.59574970961,2016.27385459514,0,764.931370686711,2125.69752392991,1593.97539486553,0,1667.93137068671,1777.24497957441,1494.86809649405,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,5,4,3,5,5,5
6,10,12,4,9,13,15,5,2,7,6,11,1,3,14,8,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,2,4,3,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.020408163265306,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2598.0532177955,3575.92380410354,0,0,0,0,1780.75755992363,4199.85014312764,4522.42405759558,10323.0905552676,1429.88697361559,2942.72022245155,6314.49771857151,0,0,3086.98851094952,5206.5305789786,3562.36830487955,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,2,4,3,5,5,5
60,15,2,11,7,3,1,9,10,8,14,12,5,4,13,6,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.01729992262,0,0,0,1103.63908146985,3032.74758468239,3524.36628064737,0,0,0,0,2021.01729992262,2068.19333307612,3524.36628064737,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,1,5,5,5
7,15,13,8,9,4,11,3,1,14,5,10,12,6,2,7,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667.64260202786,8561.29051383305,0,0,4155.92321062827,2404.7718780252,0,0,4664.02358842414,3289.93005222402,0,9865.64260202786,0,5614.46655793046,3280.34754432674,5939.86541422534,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,2,2,3,5,5,5
8,15,12,1,14,4,11,7,10,2,5,9,6,8,3,13,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,5,3,4,0.076923076923077,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0.019230769230769,0,0.020408163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191.40888355565,823.330914589926,1891.27198435125,-4299.08733863733,2446.86702829454,4255.95829443081,0,2365.63130733982,2155.03626339653,0,2228.6902375785,0,3920.80809805586,2015.95829443081,2138.03052184003,610.758294430806,2925.54195505572,2575.8717879763,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,5,3,4,5,5,5
9,5,6,10,9,1,15,3,8,4,7,11,12,2,14,13,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,5,0,0.1,0,0,0,0,0,0,0.111111111111111,0.222222222222222,0,0,0,0.111111111111111,0,0.020408163265306,0.057692307692308,0.020408163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972.21235846946,0,1807.14493753796,3171.04885397819,2249.25071067351,3140.15462711378,3158.52967787615,1865.70287194321,0,10815.5777196561,4413.33751075663,2660.83730770706,1489.3758629607,2624.90472863856,3638.21235846946,2299.91421516478,4744.9912241473,2965.33355370648,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,5,5,5,5
